ID_VGame;VideoGame;Year;Genre;Copy.Publisher 2;Rating;Publisher;Developer;;;;;
110143;Top Down Racer;2018;indefined;;RP;Neobite Games;Neobite Games;;;;;
110146;Maia;2018;indefined;;RP;Machine Studios;Simon Roth;;;;;
110149;Crash Wheels;2018;indefined;;RP;Quiet River;Quiet River;;;;;
110152;STAY;2018;indefined;;RP;PQube Limited;Appnormals Team;;;;;
110155;Trailmakers;2018;indefined;;RP;Flashbulb;Flashbulb;;;;;
108640;Hiveswap Friendsim;2018;indefined;;RP;What Pumpkin Games, Inc.;What Pumpkin Games, Inc.;;;;;
110158;War of Rights;2018;indefined;;RP;Campfire Games;Campfire Games;;;;;
109087;Moon Colonization Project;2018;indefined;;RP;BadDoge;Belarus Games;;;;;
108871;JAILBREAK;2018;indefined;;RP;IndieLip;IndieLip;;;;;
110161;SENRAN KAGURA Peach Beach Splash;2018;indefined;;RP;XSEED Games, Marvelous USA, Inc., Marvelous;Tamsoft;;;;;
110164;Bear With Me - Collector's Edition;2018;indefined;;RP;Exordium Games;Exordium Games;;;;;
109090;Apartment of Love;2018;indefined;;RP;Paradise Project;Pin-Point;;;;;
107836;Equilinox;2018;indefined;;RP;ThinMatrix;ThinMatrix;;;;;
110167;Will To Live Online;2018;indefined;;RP;AlphaSoft LLC;AlphaSoft LLC;;;;;
109093;Little Adventurer III;2018;indefined;;RP;HuBiao;HuBiao;;;;;
110170;Microcosmum: survival of cells;2018;indefined;;RP;Satur Entertainment;Satur Entertainment;;;;;
109096;Otaku's Fantasy 2;2018;indefined;;RP;Paradise Project;Dieselmine;;;;;
110173;7 Billion Humans;2018;indefined;;RP;Tomorrow Corporation;Tomorrow Corporation;;;;;
110176;Bus Driver Simulator 2019;2018;indefined;;RP;KishMish Games;KishMish Games;;;;;
110179;BattleRush 2;2018;indefined;;RP;Thunder Devs.;Thunder Devs.;;;;;
110182;Hentai Girl Betty;2018;indefined;;RP;GirlGame;GirlGame;;;;;
110185;?????? - Treasure of abyss;2018;indefined;;RP;HAN XU;HAN XU;;;;;
110188;Disgaea 5 Complete / ??????????5;2018;indefined;;RP;NIS America, Inc.;Nippon Ichi Software, Inc.;;;;;
110191;??? The Swordsmen X;2018;indefined;;RP;????(CubeGame);????????????;;;;;
110194;????? (Ho Tu Lo Shu ? The Books of Dragon);2018;indefined;;RP;???????????????, ????;Heluo Studio;;;;;
110197;Treasure Hunter Claire;2018;indefined;;RP;Kagura Games;Acerola;;;;;
109099;Fox Hime Zero;2018;indefined;;RP;SakuraGame;AsicxArt;;;;;
107839;The Spiral Scouts;2018;indefined;;RP;Cantaloupe Kids;Cantaloupe Kids;;;;;
107842;Fortissimo FA;2018;indefined;;RP;SakuraGame;La’cryma, YAMAYURI GAMES;;;;;
108874;The Mercury Man;2018;indefined;;RP;Mehsoft;Mehsoft;;;;;
110200;Mega Man X Legacy Collection 2 / ?????X ??????? ?????? 2;2018;indefined;;RP;CAPCOM CO., LTD;CAPCOM CO., LTD;;;;;
110203;Acceleration of SUGURI 2;2018;indefined;;RP;Fruitbat Factory;Orange_Juice;;;;;
109102;Yet Another Research Dog;2018;indefined;;RP;Dawntrail Entertainment;Dawntrail Entertainment;;;;;
110206;Mike was ?ursed;2018;indefined;;RP;Raum Studio;Bogdan Sychkov;;;;;
109105;Music Racer;2018;indefined;;RP;AbstractArt;AbstractArt;;;;;
110209;Zup! S;2018;indefined;;RP;Quiet River;Quiet River;;;;;
62746;Snail Racer Extreme;2018;indefined;;RP;Displacement Studios;Indefined;;;;;
108877;Rusty Lake Paradise;2018;indefined;;RP;Rusty Lake;Rusty Lake;;;;;
107845;Slipstream;2018;indefined;;RP;ansdor;ansdor;;;;;
73198;Waifu Bay Resort;2018;indefined;;RP;Artifex Mundi;Indefined;;;;;
108262;Simmiland;2018;indefined;;RP;Sokpop Collective;Sokpop Collective;;;;;
110212;Changed;2018;indefined;;RP;DragonSnow;DragonSnow;;;;;
73201;Piquant Bathing;2018;indefined;;RP;Indefined;Indefined;;;;;
108643;No Way Out;2018;indefined;;RP;Fiassink Games;Rafael Farias;;;;;
109108;Urizen Shadows of the Cold Deluxe Frosty Edition;2018;indefined;;RP;Red Moon Studio;Red Moon Studio;;;;;
73204;Defiance 2050 - Beta;2018;indefined;;RP;EugeneLee;Indefined;;;;;
105118;Jump & Shoot;2018;indefined;;RP;Dexion Games;Dexion Games;;;;;
101710;Political puzzle;2018;indefined;;RP;Game for people;Easy game;;;;;
73207;Enshrouded World: Home Truths;2018;indefined;;RP;Indefined;Indefined;;;;;
103942;Starwalker;2018;indefined;;RP;MP Game Studios;MP Game Studios;;;;;
103048;The Sacred Stone;2018;indefined;;RP;Panzer Gaming Studios;Panzer Gaming;;;;;
55831;CRACKPOT DESPOT: TRUMP WARFARE;2018;indefined;;RP;ImperiumGame;Indefined;;;;;
101713;Forest Harvester Simulator;2018;indefined;;RP;Simulators Live;Simulators Live;;;;;
101716;Cliff Empire;2018;indefined;;RP;Lion's Shade;Lion's Shade;;;;;
88951;Jelly Wants More;2018;indefined;;RP;PsychoFlux Entertainment;Indefined;;;;;
107236;Bullets And More VR - BAM VR;2018;indefined;;RP;Koenigz;Koenigz;;;;;
103051;Sword Art Online Re: Hollow Fragment;2018;indefined;;RP;BANDAI IndefinedMCO Entertainment;AQURIA Co., Ltd.;;;;;
